problem,law,section,solution,solution_based_on_law,risk_category,applicable_conditions,expected_answer
"My landlord in Jaipur is refusing to return my Rs. 25,000 security deposit even though I vacated the flat yesterday in proper condition. I'm not sure what steps to take next.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Review the rental agreement for the deposit clause, send a written request asking for an itemised explanation of any deductions, and if unresolved, pursue the matter before the Rent Authority or Consumer/Civil Court as applicable under the relevant state tenancy law.","The obligation to return a security deposit, and the conditions under which deductions are permitted, depend primarily on the terms of the rental agreement and the tenancy law applicable in the specific state, since India does not have a single uniform central law governing all rental security deposits.",Property,"The rental agreement terms, the state in which the property is located (since tenancy law is largely state-specific, e.g. Model Tenancy Act adoption varies by state), the condition of the property at vacation, and the landlord's stated reasons for deduction are all needed.","The exact law depends on your state's tenancy regulations and the terms of your rental agreement, so this needs more information before a specific section can be cited. In the meantime, send the landlord a written request for an itemised list of deductions, and keep photos/videos from move-out as evidence. Please share your state and the agreement terms so the applicable law can be identified."
"A 16-year-old in my family signed an agreement to work for a shopkeeper for Rs. 2,300, and now the shopkeeper is trying to enforce it. My family is asking me to just let it go, but I don't want to.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
A shop in Delhi charged me more than the printed MRP for a television and refused to give a proper bill. I want to know my rights in this situation.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
"The broadband internet I hired about six months ago caused more problems than it solved, and I have not received any compensation. I want to know my rights in this situation.","Consumer Protection Act, 2019",Section 2(11) read with Section 35; Section 2(6) and Section 35,"Send a written notice to the service provider describing the deficiency and asking for rectification, refund, or compensation, and if unresolved, file a complaint before the Consumer Commission.","A shortfall in the quality or manner of performance of a paid service falls within the Act's concept of deficiency, and a consumer who suffers such deficiency can seek redressal through the consumer complaint mechanism.",Consumer,"You must have paid for the service (not received it free), the shortfall in performance must be demonstrable, and supporting documents such as invoices, messages, or photographs strengthen the complaint.","This falls under the Consumer Protection Act, 2019 (Section 2(11) read with Section 35), which covers deficiency in service. You can send a written notice demanding rectification or refund, and escalate to the Consumer Commission if the provider does not respond. Retain your payment proof and all communication as evidence."
I was asked to resign after informing my employer about my pregnancy.,"Maternity Benefit Act, 1961",Section 5,"Send a written request citing your entitlement to maternity benefit, and if refused or if you face any adverse action, file a complaint with the Labour Commissioner's office; adverse action linked to pregnancy may also be challenged separately.",A woman employee who has worked the qualifying period is entitled to paid maternity leave and cannot be discharged or dismissed on account of pregnancy or related absence.,Employment,"Proof of employment duration, the pregnancy, and any communication about the leave request or adverse action taken by the employer are needed.","This falls under the Maternity Benefit Act, 1961 (Section 5), which entitles eligible women employees to paid maternity leave and protects against dismissal on account of pregnancy. Send a written request citing your entitlement, and file a complaint with the Labour Commissioner's office if refused. Keep your employment and pregnancy-related documents ready."
My identity documents were misused to open an account I never authorised. I have a few messages as proof but nothing else.,"Information Technology Act, 2000",Section 66C,"Report the fake profile to the platform for takedown, file a complaint on the National Cyber Crime Reporting Portal (cybercrime.gov.in) or at the nearest Cyber Cell, and preserve screenshots as evidence.","The fraudulent or dishonest use of another person's electronic identity information, such as photos combined with personal details used to impersonate them online, falls within the Act's identity theft provision.",Cybercrime,"Screenshots of the fake profile, proof that it is not actually operated by you, and details of any resulting harm (harassment, financial loss) strengthen the complaint.","This is a matter of identity theft under the Information Technology Act, 2000 (Section 66C). Report the fake profile to the platform, file a complaint on cybercrime.gov.in or at your local Cyber Cell, and preserve screenshots as evidence."
I filed a workplace harassment complaint but my company has not taken any action even after yesterday. I have a few messages as proof but nothing else.,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Section 11 and Section 13,"Send a written reminder to the ICC/employer citing the statutory timelines, and if there is continued inaction, escalate to the Local Committee or the appropriate government authority responsible for oversight.","The Act requires the Internal Complaints Committee to complete the inquiry within a prescribed period, and unreasonable delay can be escalated to oversight authorities.",Employment,"Dates of filing the complaint, any acknowledgement received, and communication with the ICC are needed to establish the delay.","Under Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013 (Section 11 and Section 13), the ICC is required to complete its inquiry within a set timeframe. Send a written reminder citing this requirement, and if there is continued inaction, escalate to the Local Committee or relevant labour/women's welfare authority. Keep a record of your complaint and all follow-ups."
"A 16-year-old in my family signed an agreement to work for a shopkeeper for Rs. 1,10,000, and now the shopkeeper is trying to enforce it. I have all the receipts and messages saved.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
"I was dishonestly induced to hand over Rs. 2,300 based on false promises that were never fulfilled. Please tell me what I can legally do.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"I was sold a pressure cooker based on a false claim about its features, which turned out to be untrue. I have all the receipts and messages saved.","Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
